epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.349,0.261,0.132,0.082,"[0.077, 0.198, 0.044, 0.241, 0.055, 0.154, 0.196, 0.126, 0.134, 0.09]"
01,0.264,0.247,0.124,0.076,"[0.068, 0.185, 0.044, 0.24, 0.055, 0.143, 0.194, 0.107, 0.122, 0.081]"
01,0.262,0.248,0.124,0.075,"[0.074, 0.186, 0.044, 0.238, 0.055, 0.141, 0.184, 0.105, 0.127, 0.086]"
02,0.242,0.244,0.128,0.080,"[0.063, 0.177, 0.044, 0.285, 0.054, 0.144, 0.207, 0.102, 0.12, 0.079]"
02,0.242,0.234,0.122,0.075,"[0.063, 0.183, 0.044, 0.244, 0.054, 0.141, 0.186, 0.108, 0.119, 0.079]"
03,0.237,0.237,0.125,0.078,"[0.068, 0.179, 0.041, 0.239, 0.051, 0.148, 0.224, 0.102, 0.119, 0.077]"
03,0.233,0.239,0.125,0.078,"[0.063, 0.174, 0.041, 0.278, 0.051, 0.141, 0.203, 0.1, 0.118, 0.078]"
04,0.233,0.230,0.119,0.073,"[0.061, 0.195, 0.041, 0.226, 0.049, 0.138, 0.186, 0.098, 0.116, 0.079]"
04,0.234,0.235,0.123,0.077,"[0.067, 0.176, 0.04, 0.237, 0.05, 0.147, 0.222, 0.101, 0.118, 0.076]"
05,0.229,0.227,0.117,0.071,"[0.06, 0.181, 0.037, 0.237, 0.049, 0.134, 0.178, 0.097, 0.115, 0.078]"
05,0.231,0.229,0.117,0.072,"[0.06, 0.192, 0.038, 0.225, 0.048, 0.137, 0.183, 0.097, 0.116, 0.078]"
06,0.227,0.227,0.115,0.070,"[0.062, 0.18, 0.037, 0.223, 0.049, 0.133, 0.178, 0.096, 0.115, 0.078]"
06,0.228,0.226,0.116,0.070,"[0.06, 0.18, 0.036, 0.236, 0.049, 0.133, 0.177, 0.096, 0.114, 0.078]"
07,0.225,0.225,0.114,0.069,"[0.06, 0.171, 0.035, 0.229, 0.048, 0.134, 0.175, 0.102, 0.114, 0.077]"
07,0.226,0.226,0.114,0.070,"[0.061, 0.179, 0.036, 0.223, 0.048, 0.132, 0.177, 0.096, 0.115, 0.077]"
08,0.224,0.222,0.112,0.067,"[0.058, 0.166, 0.034, 0.221, 0.048, 0.131, 0.175, 0.095, 0.115, 0.081]"
08,0.224,0.225,0.114,0.069,"[0.06, 0.169, 0.034, 0.228, 0.047, 0.133, 0.174, 0.102, 0.113, 0.077]"
