epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.172,2.067,0.212,0.762,0.212,0.193,0.198,"[0.159, 0.317, 0.155, 0.212, 0.276, 0.279, 0.093, 0.237, 0.105, 0.095]"
01,1.366,1.240,0.573,0.973,0.573,0.526,0.572,"[0.594, 0.539, 0.609, 0.629, 0.511, 0.51, 0.596, 0.537, 0.398, 0.333]"
02,0.916,1.360,0.514,0.950,0.514,0.485,0.513,"[0.413, 0.646, 0.638, 0.432, 0.385, 0.555, 0.536, 0.411, 0.443, 0.391]"
03,0.737,1.230,0.576,0.963,0.576,0.512,0.590,"[0.513, 0.646, 0.625, 0.629, 0.318, 0.534, 0.599, 0.548, 0.342, 0.37]"
04,0.678,1.244,0.569,0.976,0.569,0.525,0.579,"[0.539, 0.666, 0.566, 0.643, 0.432, 0.586, 0.529, 0.402, 0.447, 0.435]"
05,0.731,1.189,0.608,0.981,0.608,0.554,0.609,"[0.605, 0.696, 0.622, 0.582, 0.393, 0.59, 0.641, 0.514, 0.431, 0.467]"
06,0.610,1.211,0.599,0.972,0.599,0.542,0.604,"[0.557, 0.659, 0.667, 0.656, 0.267, 0.557, 0.585, 0.544, 0.441, 0.482]"
06,0.566,1.247,0.586,0.968,0.586,0.530,0.595,"[0.571, 0.681, 0.7, 0.655, 0.224, 0.545, 0.559, 0.521, 0.395, 0.451]"
07,0.572,1.223,0.599,0.976,0.599,0.539,0.598,"[0.515, 0.66, 0.684, 0.547, 0.317, 0.564, 0.667, 0.548, 0.422, 0.464]"
07,0.518,1.151,0.613,0.980,0.613,0.551,0.610,"[0.524, 0.676, 0.667, 0.57, 0.348, 0.567, 0.669, 0.548, 0.486, 0.455]"
08,0.482,1.174,0.588,0.983,0.588,0.539,0.591,"[0.594, 0.653, 0.667, 0.672, 0.327, 0.564, 0.545, 0.451, 0.438, 0.485]"
08,0.454,1.209,0.576,0.982,0.576,0.526,0.583,"[0.595, 0.664, 0.684, 0.643, 0.255, 0.551, 0.546, 0.454, 0.409, 0.455]"
09,0.484,1.200,0.599,0.981,0.599,0.547,0.595,"[0.594, 0.683, 0.65, 0.561, 0.387, 0.557, 0.64, 0.477, 0.456, 0.46]"
09,0.389,1.133,0.610,0.981,0.610,0.550,0.609,"[0.568, 0.666, 0.667, 0.586, 0.359, 0.555, 0.664, 0.534, 0.446, 0.458]"
10,0.453,1.224,0.582,0.983,0.582,0.547,0.583,"[0.604, 0.647, 0.7, 0.677, 0.435, 0.545, 0.515, 0.493, 0.413, 0.438]"
10,0.408,1.241,0.580,0.977,0.580,0.533,0.582,"[0.505, 0.661, 0.667, 0.651, 0.36, 0.527, 0.534, 0.527, 0.423, 0.472]"
11,0.465,1.278,0.589,0.977,0.589,0.526,0.580,"[0.525, 0.649, 0.684, 0.512, 0.317, 0.555, 0.667, 0.464, 0.425, 0.459]"
12,0.453,1.258,0.572,0.983,0.572,0.535,0.568,"[0.55, 0.635, 0.7, 0.678, 0.424, 0.553, 0.481, 0.44, 0.431, 0.459]"
11,0.429,1.140,0.614,0.981,0.614,0.559,0.615,"[0.603, 0.684, 0.7, 0.612, 0.381, 0.561, 0.649, 0.528, 0.411, 0.458]"
13,0.453,1.229,0.597,0.981,0.597,0.525,0.591,"[0.598, 0.696, 0.667, 0.546, 0.19, 0.543, 0.638, 0.522, 0.446, 0.404]"
12,0.420,1.127,0.602,0.982,0.602,0.547,0.605,"[0.604, 0.669, 0.667, 0.669, 0.353, 0.561, 0.581, 0.474, 0.444, 0.449]"
14,0.404,1.208,0.597,0.983,0.597,0.550,0.593,"[0.637, 0.679, 0.684, 0.659, 0.405, 0.512, 0.556, 0.491, 0.435, 0.442]"
13,0.416,1.115,0.622,0.983,0.622,0.554,0.624,"[0.579, 0.692, 0.667, 0.641, 0.373, 0.571, 0.649, 0.528, 0.408, 0.429]"
15,0.365,1.209,0.590,0.981,0.590,0.546,0.594,"[0.565, 0.696, 0.684, 0.622, 0.356, 0.508, 0.581, 0.551, 0.436, 0.459]"
14,0.385,1.191,0.601,0.981,0.601,0.537,0.602,"[0.453, 0.683, 0.667, 0.65, 0.327, 0.567, 0.574, 0.54, 0.466, 0.447]"
16,0.378,1.125,0.627,0.983,0.627,0.559,0.629,"[0.515, 0.639, 0.649, 0.676, 0.417, 0.555, 0.666, 0.53, 0.459, 0.481]"
15,0.396,1.094,0.637,0.983,0.637,0.572,0.638,"[0.606, 0.696, 0.718, 0.664, 0.375, 0.581, 0.661, 0.507, 0.474, 0.442]"
17,0.348,1.238,0.587,0.981,0.587,0.536,0.587,"[0.603, 0.675, 0.649, 0.597, 0.32, 0.563, 0.587, 0.461, 0.451, 0.459]"
16,0.350,1.236,0.585,0.980,0.585,0.532,0.593,"[0.558, 0.686, 0.65, 0.667, 0.333, 0.544, 0.549, 0.444, 0.433, 0.452]"
