epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.372,2.224,0.348,0.956,0.348,0.301,0.326,"[0.419, 0.161, 0.2, 0.563, 0.373, 0.12, 0.297, 0.249, 0.18, 0.448]"
01,0.818,1.163,0.580,0.979,0.580,0.454,0.589,"[0.582, 0.582, 0.08, 0.656, 0.314, 0.486, 0.638, 0.564, 0.223, 0.41]"
02,0.629,1.517,0.499,0.971,0.499,0.428,0.492,"[0.348, 0.681, 0.395, 0.573, 0.34, 0.505, 0.348, 0.468, 0.334, 0.286]"
03,0.463,2.345,0.344,0.966,0.344,0.320,0.284,"[0.498, 0.45, 0.222, 0.093, 0.125, 0.393, 0.291, 0.363, 0.304, 0.464]"
04,0.481,1.569,0.465,0.971,0.465,0.405,0.464,"[0.286, 0.615, 0.336, 0.643, 0.177, 0.431, 0.237, 0.63, 0.227, 0.472]"
05,0.440,1.415,0.517,0.973,0.517,0.438,0.514,"[0.564, 0.682, 0.727, 0.558, 0.0, 0.305, 0.521, 0.365, 0.274, 0.381]"
06,0.359,1.643,0.499,0.969,0.499,0.488,0.439,"[0.529, 0.624, 0.808, 0.619, 0.491, 0.468, 0.158, 0.442, 0.201, 0.544]"
07,0.366,1.321,0.569,0.970,0.569,0.490,0.572,"[0.424, 0.574, 0.576, 0.662, 0.167, 0.524, 0.557, 0.502, 0.444, 0.472]"
08,0.366,2.840,0.308,0.965,0.308,0.286,0.232,"[0.424, 0.574, 0.345, 0.106, 0.061, 0.297, 0.093, 0.302, 0.214, 0.446]"
09,0.392,1.664,0.518,0.948,0.518,0.389,0.504,"[0.464, 0.649, 0.328, 0.635, 0.278, 0.44, 0.466, 0.008, 0.192, 0.429]"
10,0.353,1.415,0.538,0.964,0.538,0.410,0.517,"[0.454, 0.611, 0.488, 0.432, 0.136, 0.48, 0.662, 0.226, 0.248, 0.364]"
11,0.255,1.797,0.514,0.940,0.514,0.451,0.504,"[0.463, 0.663, 0.816, 0.477, 0.367, 0.458, 0.566, 0.047, 0.396, 0.258]"
12,0.242,1.691,0.506,0.982,0.506,0.522,0.489,"[0.573, 0.713, 0.744, 0.332, 0.473, 0.492, 0.498, 0.548, 0.338, 0.506]"
13,0.227,1.138,0.631,0.982,0.631,0.567,0.629,"[0.534, 0.711, 0.682, 0.628, 0.444, 0.559, 0.673, 0.501, 0.408, 0.529]"
